session_id,event_key,captured_at_utc,model_id,source_path,source_line,counter_epoch,input_tokens,cached_input_tokens,cache_write_input_tokens,output_tokens,request_usage_quality,is_long_context,is_duplicate,duplicate_sources
"019df2d8-c1f3-7c90-9f60-3fdf5f17de0e","18c37363bc737d55eae79365f4e13e8593e0ece1cde96b3137b7294099416687","2026-05-04T12:00:25.262+00:00","gpt-5.5","C:\Users\xiong\.codex\archived_sessions\rollout-2026-05-04T19-56-24-019df2d8-c1f3-7c90-9f60-3fdf5f17de0e.jsonl","19","0","14541","12160","0","168","2","False","False","""C:\Users\xiong\.codex\archived_sessions\rollout-2026-05-04T19-56-24-019df2d8-c1f3-7c90-9f60-3fdf5f17de0e.jsonl"""
"019df2d8-c1f3-7c90-9f60-3fdf5f17de0e","e6368efe45e161f2055beeb425d8100dfda1802fced860f1eb51daf2167600d5","2026-05-04T12:00:36.853+00:00","gpt-5.5","C:\Users\xiong\.codex\archived_sessions\rollout-2026-05-04T19-56-24-019df2d8-c1f3-7c90-9f60-3fdf5f17de0e.jsonl","24","0","0","0","0","0","1","False","False","""C:\Users\xiong\.codex\archived_sessions\rollout-2026-05-04T19-56-24-019df2d8-c1f3-7c90-9f60-3fdf5f17de0e.jsonl"""
"019df2d8-c1f3-7c90-9f60-3fdf5f17de0e","251238c11fa59fc8976ea1d3c36f4a5492c3079d0afb153baa47804a91d82679","2026-05-04T12:00:46.775+00:00","gpt-5.5","C:\Users\xiong\.codex\archived_sessions\rollout-2026-05-04T19-56-24-019df2d8-c1f3-7c90-9f60-3fdf5f17de0e.jsonl","32","0","28060","14208","0","312","2","False","False","""C:\Users\xiong\.codex\archived_sessions\rollout-2026-05-04T19-56-24-019df2d8-c1f3-7c90-9f60-3fdf5f17de0e.jsonl"""
"019df2d8-c1f3-7c90-9f60-3fdf5f17de0e","896eba48256c314d4b82361e01e5778c3dd6d5f69eecc7c56b5f1af145b854ea","2026-05-04T12:00:50.602+00:00","gpt-5.5","C:\Users\xiong\.codex\archived_sessions\rollout-2026-05-04T19-56-24-019df2d8-c1f3-7c90-9f60-3fdf5f17de0e.jsonl","41","0","0","0","0","0","1","False","False","""C:\Users\xiong\.codex\archived_sessions\rollout-2026-05-04T19-56-24-019df2d8-c1f3-7c90-9f60-3fdf5f17de0e.jsonl"""
"019df2d8-c1f3-7c90-9f60-3fdf5f17de0e","350d83b5da5b925777b4fb4f57ac60a21aa85d0842fb5b17a89074cfca168e9a","2026-05-04T12:00:59.11+00:00","gpt-5.5","C:\Users\xiong\.codex\archived_sessions\rollout-2026-05-04T19-56-24-019df2d8-c1f3-7c90-9f60-3fdf5f17de0e.jsonl","48","0","36919","28032","0","412","2","False","False","""C:\Users\xiong\.codex\archived_sessions\rollout-2026-05-04T19-56-24-019df2d8-c1f3-7c90-9f60-3fdf5f17de0e.jsonl"""
"019df2d8-c1f3-7c90-9f60-3fdf5f17de0e","e24b9c443fad44a539b4191f9c6f8112547055ae92595b61eb509d65b99c4a52","2026-05-04T12:01:03.112+00:00","gpt-5.5","C:\Users\xiong\.codex\archived_sessions\rollout-2026-05-04T19-56-24-019df2d8-c1f3-7c90-9f60-3fdf5f17de0e.jsonl","55","0","0","0","0","0","1","False","False","""C:\Users\xiong\.codex\archived_sessions\rollout-2026-05-04T19-56-24-019df2d8-c1f3-7c90-9f60-3fdf5f17de0e.jsonl"""
"019df2d8-c1f3-7c90-9f60-3fdf5f17de0e","269cabf69817b113151d96c4d6a4167201f901c33adf2e0a898de2622fe2b5c6","2026-05-04T12:01:12.83+00:00","gpt-5.5","C:\Users\xiong\.codex\archived_sessions\rollout-2026-05-04T19-56-24-019df2d8-c1f3-7c90-9f60-3fdf5f17de0e.jsonl","62","0","41260","36736","0","336","2","False","False","""C:\Users\xiong\.codex\archived_sessions\rollout-2026-05-04T19-56-24-019df2d8-c1f3-7c90-9f60-3fdf5f17de0e.jsonl"""
"019df2d8-c1f3-7c90-9f60-3fdf5f17de0e","63f92d780d25cc4eba1478dc24a5202ff263617341ea8f794108120e6526f67c","2026-05-04T12:01:16.124+00:00","gpt-5.5","C:\Users\xiong\.codex\archived_sessions\rollout-2026-05-04T19-56-24-019df2d8-c1f3-7c90-9f60-3fdf5f17de0e.jsonl","69","0","0","0","0","0","1","False","False","""C:\Users\xiong\.codex\archived_sessions\rollout-2026-05-04T19-56-24-019df2d8-c1f3-7c90-9f60-3fdf5f17de0e.jsonl"""
"019df2d8-c1f3-7c90-9f60-3fdf5f17de0e","0eafc4290214431c760216b4400309a1c1b5483dca9d3987de5ff988c13c62b8","2026-05-04T12:01:27.879+00:00","gpt-5.5","C:\Users\xiong\.codex\archived_sessions\rollout-2026-05-04T19-56-24-019df2d8-c1f3-7c90-9f60-3fdf5f17de0e.jsonl","75","0","47195","40832","0","597","2","False","False","""C:\Users\xiong\.codex\archived_sessions\rollout-2026-05-04T19-56-24-019df2d8-c1f3-7c90-9f60-3fdf5f17de0e.jsonl"""
"019df2d8-c1f3-7c90-9f60-3fdf5f17de0e","8d62d779b3982fe47f8155d680546cd30b4ee3b133ea2bf90754e25eb19a86df","2026-05-04T12:03:18.847+00:00","gpt-5.5","C:\Users\xiong\.codex\archived_sessions\rollout-2026-05-04T19-56-24-019df2d8-c1f3-7c90-9f60-3fdf5f17de0e.jsonl","81","0","0","0","0","0","1","False","False","""C:\Users\xiong\.codex\archived_sessions\rollout-2026-05-04T19-56-24-019df2d8-c1f3-7c90-9f60-3fdf5f17de0e.jsonl"""
